feature	coef	Family_Name
M01050_ARR10_01_REV_3	1.50875443873071	Response Regulator
M0764_1.02_FWD_7	-1.49441059194526	GATA
M1327_1.02_FWD_7	1.49064850150964	Myb/SANT
M0258_1.02_FWD_6	1.48521164577122	bZIP
M0262_1.02_REV_1	-1.47241718736795	bZIP
M00949_AGL15_01_FWD_2	1.4630231091308	MADS
M00949_AGL15_01_FWD_2	1.4630231091308	MADS-box
M1344_1.02_FWD_2	1.46107828832723	Myb/SANT
M0589_1.02_FWD_4	1.46003841529581	CxC
M00393_AGL3_02_REV_3	1.44590303384447	MADS-box
M00393_AGL3_02_REV_3	1.44590303384447	MADS
M01189_CBNAC_02_REV_3	-1.44281363681021	NAC
M0761_1.02_REV_4	-1.4220609723621	GATA
M0147_1.02_REV_1	1.40000095008071	B3
M0262_1.02_REV_5	1.39759918395728	bZIP
M1313_1.02_FWD_3	-1.39656665345508	Myb/SANT
M1696_1.02_REV_4	-1.39123901017993	WRKY
M0770_1.02_REV_3	1.38704051494987	GATA
M01188_CBNAC_01_FWD_6	1.38646699003166	NAC
M1211_1.02_FWD_3	1.38304246081612	Homeodomain
M0842_1.02_REV_1	1.379999875389	Homeodomain
M0583_1.02_FWD_5	1.37507049929696	CSD
M1689_1.02_REV_7	-1.36215198526092	WRKY
M0844_1.02_REV_3	-1.36019167782415	Homeodomain
M0025_1.02_FWD_5	1.35479172972171	AP2
M0118_1.02_FWD_3	1.35477167758119	AT hook
M0821_1.02_REV_1	-1.35230884706846	GRAS
M0847_1.02_REV_1	1.35151141322697	Homeodomain
M1335_1.02_REV_4	-1.34830275223176	Myb/SANT
M0583_1.02_REV_4	1.34592758807306	CSD
M0682_1.02_FWD_7	-1.34180596550247	EIN3
M0035_1.02_FWD_6	-1.33771834161987	AP2
M1319_1.02_REV_1	-1.33333130901926	Myb/SANT
M0649_1.02_FWD_3	-1.33100580828288	Dof
M1941_1.02_FWD_3	-1.32818707438123	Myb/SANT
